id	role	price	standing	hull	shields	cargo	mass	speed	turn	warpRange	fuelCapacity	weaponSlots	rationale
50	organic transport	68000	30	650	0	600	5	45	13	1080	600	-,-,-	Unshielded organic transport trades combat capability for unusual endurance and cargo.
51	luxury liner	98000	30	350	650	1600	5	35	6	1190	300	-,-,-	Civilian liner has premium carrying capacity and protection, with empty armable slots.
53	secret strike capital	310000	75	1400	2100	450	7	58	9	1340	260	2,26,22	Reman stealth strike ship pays for cloak and Thaleron equipment; secret access remains.
54	independent cruiser	59000	30	300	380	400	4	42	9	810	200	3,15,-	Balanced Tamarian hull is no longer priced below smaller escorts.
55	alien combat bioship	265000	75	1100	1350	50	6	68	15	1170	600	28,19,-	High agility and unusual endurance justify a rare combat premium; tiny cargo prevents universal superiority.
60	independent supercapital	1050000	100	6500	8000	10000	6	50	7	1750	400	2,19,25	Concord preserves approved endgame values and commercial role; Excalibur retains superior combat durability.
61	Klingon supercapital	1250000	100	11000	6000	2500	9	38	4	1620	300	2,19,22	Armor-heavy flagship with limited cargo and slow handling; no routine ambient deployment.
62	Cardassian supercapital	1200000	100	10500	6500	6000	10	32	3	1610	300	2,19,23	Siege and logistics flagship trades speed for armor and freight; no routine ambient deployment.
64	Romulan supercapital	1300000	100	6500	11000	4000	9	42	4	1740	360	2,17,22	Shield-heavy stealth flagship with less total durability and cargo than universal old mega stats.
65	Dominion supercapital	1350000	100	8500	9500	3000	10	38	4	1680	340	2,19,18	Heavy Dominion strength stays in the core or authorized deployments; expensive combat-focused flagship.
66	Tholian supercapital	1250000	100	7500	10500	4500	10	30	3	1650	330	2,16,25	Slow shield-heavy command hull carries a tractor for web-like control, not huge generic cargo holds.
206	Dominion scout	3500	0	45	35	25	1	55	22	235	130	8,-,-	Starter Dominion scout uses a compact legal weapon and prioritizes speed over durability.
207	armed raider	43000	30	190	250	180	3	62	17	540	200	38,-,-	Powerful proton beam makes this raider an expensive specialist rather than a freighter bargain.
208	light scout	4500	0	50	55	40	1	62	22	240	120	10,-,-	Venture gains useful scout speed and modest protection without a massive accidental fuel reserve.
209	courier transport	45000	15	220	240	650	3	44	11	690	230	1,25,-	Cargo and endurance justify Sydney pricing; modest protection and armament keep it below military cruisers.
210	Vulcan shuttle	2500	0	35	45	45	1	36	20	220	120	-,-,-	Basic logical transport starts unarmed and sits below the armed Warpship.
211	expeditionary capital	165000	75	600	1100	900	7	46	7	1410	360	4,17,24	Vulcan capital emphasizes shields, survey equipment and range, not fast assault.
212	Romulan courier	3000	0	35	40	60	1	50	20	235	130	7,-,-	Cargo courier remains distinct from the faster and better-armed scout.
213	Imperial command capital	205000	75	1000	1000	650	7	48	6	1270	280	2,16,23	Imperial prioritizes armor and command-zone control over Galaxy cargo and survey endurance.
214	independent utility escort	20000	15	110	130	250	2	48	15	520	210	1,-,-	Low-cost civilian generalist trades combat protection for useful cargo and travel.
215	quantum-drive freighter	72000	30	450	180	1500	6	28	4	1120	600	-,-,-	Large hold and extended reserve are valuable; slow unarmed hull is vulnerable. Fuel-free travel is not implemented.
216	Dominion cruiser	120000	50	600	750	250	6	68	11	930	240	2,19,11	Core combat cruiser is a genuine upgrade from the locally available attack ship.
217	Terran light raider	68000	50	330	380	180	4	68	15	620	180	1,15,22	Mobile improvised warship pays for cloak and combat ability, sacrificing freight.
218	Breen attack cruiser	108000	50	620	650	320	5	58	10	910	240	2,16,23	Breen combat fit includes engine disruption and heavy beam; clear military standing gate.
219	Sona attack cruiser	150000	50	620	800	450	6	64	9	990	270	29,16,30	Advanced subspace armament contributes materially to price and trust requirement.
220	Azuki multirole cruiser	99000	50	430	620	550	5	55	13	930	260	1,16,24	Refitted multirole cruiser combines useful cargo with shielding and detection equipment.
221	Galaxy command capital	195000	75	800	1200	800	7	48	6	1350	330	2,16,23	Command Galaxy has stronger defenses and fleet-control fit than the standard explorer.
222	Tholian shuttle	5200	0	45	70	35	1	44	21	220	100	1,-,-	Crystalline shuttle gets modest shields and a basic beam; heavy devices await a larger hull.
223	Tholian cargo cruiser	79000	30	350	420	1100	4	38	8	860	230	1,25,-	Armored cargo platform gives up speed and heavy weapons for transport work.
224	Sona battleship	320000	75	1700	1900	850	9	50	5	1470	320	29,39,30	Major battleship with expensive advanced fit, slow turning and limited commercial space.
225	Orion commerce cruiser	61000	30	260	360	420	3	48	12	660	210	11,22,-	Corrects the 520000 outlier; cloak and turret support a mid-tier private commerce ship.
226	Promelli energy skiff	96000	50	300	500	120	4	60	17	710	210	44,-,-	Fast alien energy specialist is priced for its strong pulse weapon, not unexplained rarity alone.
227	Promelli heavy cruiser	195000	75	750	1150	550	7	48	8	1110	280	44,45,16	Heavy alien energy fit and shielding distinguish it from the skiff; old near-million price removed.
228	strike fighter	12500	15	110	100	20	2	72	22	280	140	9,15,-	Peregrin specializes in short-range attack with little cargo and an expensive initial weapon fit.
229	premium command yacht	31000	30	130	190	110	2	65	20	370	160	-,-,-	Sovereign yacht is a fast protected civilian craft; empty slots match its noncombat role.
230	frontier patrol frigate	54000	30	250	310	180	3	60	14	630	190	1,15,24	Patrol frigate pays for endurance and detection rather than cloak inherited from an unrelated item row.
231	assault cruiser	145000	50	750	850	220	6	56	8	900	240	2,16,16	Armor and twin quantum launchers make Manticore a dedicated assault hull with limited cargo.
232	Tholian battleship	275000	75	1400	1900	550	8	40	5	1440	300	2,16,25	Layered defenses and control equipment define a slow lane-holding battleship.
233	Breen shuttle	5800	0	55	65	45	1	45	20	225	110	7,-,-	Cold-system courier carries a small disruptor; no invalid heavy turret or inherited cloak.
234	Breen shield cruiser	99000	50	430	850	280	4	56	11	900	230	2,19,23	More shielding but less armor and freight than the larger Breen Warship.
235	Sona shuttle	6200	0	50	65	40	1	60	22	240	130	8,-,-	Fast support shuttle uses a compact pulse cannon rather than heavy subspace weapons.
236	heavy cargo frame	56000	30	250	290	1000	4	35	7	760	240	1,25,-	Salcombe hauls construction material cheaply by sacrificing speed, maneuverability and combat equipment.
237	Vulcan fast cruiser	93000	50	320	640	250	4	68	15	1020	260	4,16,24	Fast defensive explorer exchanges armor and cargo for range and agility.
238	Dominion logistics ship	85000	30	340	350	1350	4	36	8	830	260	3,25,-	Core-only freighter has an escort-level defensive fit; freight is its main capability.
239	Klingon armed hauler	89000	30	500	260	1100	4	38	8	780	230	6,19,25	Armor and armed convoy support cost more than civilian cargo frames; slow turning remains.
240	Andorian patrol cruiser	87000	50	400	480	240	4	64	15	850	220	2,15,24	Andorian patrol craft favors pursuit and direct beam fire over cargo hauling.
241	Astrid utility cruiser	69000	30	320	380	380	4	51	12	800	230	1,15,-	General-purpose light cruiser has no single peak specialty and a moderate price.
242	Austin defense cruiser	121000	50	620	800	360	6	43	10	960	260	2,16,24	Shield-oriented patrol command hull trades speed for sustained defense.
243	Avon courier	7500	0	65	85	60	1	48	20	240	130	10,-,-	Sturdy courier sits above cheap transports, with a modest defensive cannon.
244	Beijing transport cruiser	71000	30	330	380	720	4	42	9	900	280	1,25,-	Long-haul Terran transport differentiates through cargo and reserve instead of copied patrol stats.
245	Belfast survey cruiser	76000	30	250	480	320	4	60	15	980	300	1,24,-	Survey ship emphasizes shields and long operational reach, with light armament.
246	classic Romulan capital	200000	75	1100	1500	650	8	38	7	1270	290	4,17,22	Older large warbird is slower and less efficient than modern strike designs.
247	Drayton service craft	12000	15	80	120	100	2	45	17	460	180	14,25,-	Compact workboat gains a tractor and useful endurance while staying a light hull.
248	Eisenhower civilian cruiser	101000	30	650	700	500	6	40	8	1020	300	1,25,-	Large civilian conversion pays for protection and cargo but lacks an Imperial combat fit.
249	Ford utility cruiser	74000	30	350	420	520	4	47	11	820	240	1,15,-	Cargo-biased light cruiser trades some speed for practical carrying capacity.
250	Galaxy command yacht	19000	15	95	130	95	2	56	21	320	140	-,-,-	Civilian command shuttle below the more capable Sovereign yacht; all slots remain armable.
251	reserved Gorn cruiser	125000	75	850	500	400	6	46	9	880	240	6,17,25	Reference balance for a reserved armored assault design; no new spawn or purchase authorization.
252	reserved Gorn patrol	42000	30	240	130	100	3	60	18	520	160	6,15,-	Reference balance for reserved patrol use; trading and routine deployment remain disabled.
253	Hirogen hunter	132000	50	800	550	220	6	68	12	1050	300	2,15,25	Armor, pursuit and tractor support fit the hunter role; cargo is intentionally limited.
254	Hirogen warship	235000	75	1500	1300	500	8	48	7	1330	300	2,18,25	Heavy hunting-pack command hull exchanges agility for durability and striking power.
255	Ktra attack cruiser	126000	50	700	650	250	6	58	11	880	220	3,19,22	Klingon assault cruiser has armored posture and cloak instead of identical generalist stats.
256	Renux cruiser	128000	50	500	850	300	6	52	11	1010	280	4,17,22	Shielded Romulan cruiser pays for stealth and endurance; lower armor than assault peers.
257	Suliban raiding cruiser	124000	50	450	650	220	5	76	17	1010	260	8,19,22	Fast cloaked raider gives up heavy protection and freight for evasive handling.
258	Suliban pod	4800	0	30	45	15	1	72	22	220	100	7,-,-	Very small fast pod has little cargo and weak protection, with one light weapon.
259	Suliban cell ship	35000	30	180	240	90	2	74	20	540	180	8,22,-	Pack scout is a maneuverable stealth specialist, not a heavily armored escort.
260	TPral exploration cruiser	128000	50	450	950	550	6	50	10	1220	330	4,16,24	Vulcan cruiser earns premium through shielding, survey range and controlled defensive weapons.
261	mission tactical cube	2000000	100	13000	15000	4000	10	22	3	1720	400	5,13,25	Armored Borg encounter boss; reference valuation never authorizes ordinary sales or ambient spawning.
262	Terra command capital	210000	75	1050	1300	550	7	46	7	1290	310	2,16,23	Command capital favors protection and area control over high impulse speed.
263	passenger shuttle	3800	0	40	50	65	1	44	22	235	120	-,-,-	Type 7 offers inexpensive passenger and cargo service with empty compatible equipment slots.
264	operations support cruiser	82000	30	300	550	800	5	40	9	910	280	1,25,24	California performs support and survey work; good cargo and utility equipment replace a heavy combat fit.
265	experimental survey cruiser	145000	50	450	750	300	5	66	13	1440	360	1,16,24	Crossfield pays for research endurance and transit capability; no spore-drive mechanic is implied.
266	Diana science cruiser	88000	30	280	580	360	4	56	14	1050	310	1,24,25	Shielded science and recovery vessel with light offensive equipment and strong endurance.
267	Hirogen hunting shuttle	6900	0	80	35	30	1	64	21	235	130	8,-,-	Armored scouting shuttle sacrifices hold and shields for pursuit and a compact weapon.
268	independent militia warbird	112000	50	620	750	350	6	48	10	970	260	3,15,22	Private military conversion requires independent trust and pays for cloak and warship protection.
269	civilian NX refit	20000	15	110	130	120	2	48	16	480	180	1,15,-	Retired exploration frame gets a modest modern fit; no claim that all historical NX ships are civilian.
270	Onyx guard cruiser	82000	30	550	500	450	5	40	9	790	230	1,15,25	Slow independent guard cruiser trades speed and range for armor and practical cargo.
271	engineering support cruiser	118000	50	480	800	950	6	42	8	1150	330	1,25,24	Parliament is an advanced operations and engineering platform, not an assault flagship.
272	fast courier	5500	0	30	40	20	1	80	24	245	110	-,-,-	Fastest courier gives up armor, shielding, cargo and weapons to achieve its speed.
273	advanced shuttle	8500	15	70	100	70	1	58	20	245	150	10,15,-	Type 11 improves protection and equipment above ordinary passenger shuttles without becoming a cruiser.
274	Daedalus service refit	23000	15	150	120	280	2	35	11	570	220	1,25,-	Old exploration design repurposed for transport and recovery; cheap capacity comes with slow handling.
275	Falcon strike escort	47000	30	240	220	60	3	74	19	490	170	9,15,-	Fast short-range strike escort with little room for trade or expedition supplies.
276	Helios civilian explorer	68000	30	260	380	300	4	60	13	1120	300	1,15,-	Independent explorer pays for travel reach and speed while accepting lighter protection.
277	Romulan convoy freighter	74000	30	300	350	1250	4	34	8	920	270	4,22,25	Cloaked supply carrier is slow and lightly armed; secrecy supports logistics rather than assault.
278	Miltek military transport	119000	50	700	700	950	6	40	9	1060	290	4,17,22	Protected military transport costs more than a freighter but handles worse than a combat cruiser.
279	Romulan patrol capital	218000	75	1200	1550	500	7	48	8	1420	320	4,17,22	Large patrol warbird offers long reach and shielding without matching the Reman strike fit.
280	Imperial Constitution refit	59000	30	310	370	260	4	49	11	780	220	1,15,24	Classic heavy-cruiser lineage in active Imperial service; stronger fit than retired civilian tugs.
281	armed auxiliary scout	14500	15	100	120	70	2	70	22	350	160	14,15,-	Aeroshuttle buys speed and light combat capability; Oberth trades these for cargo and working range.
282	Vulcan-derived civilian explorer	84000	30	270	600	480	4	49	13	1240	350	4,24,-	Civilian Althinas retains Vulcan-style shielding and exploration endurance, with modest weapons.
283	multi-mission cruiser	96000	50	400	600	420	5	55	12	1110	300	1,16,24	Cheyenne receives an endurance-oriented fleet role; four nacelles do not grant a new propulsion mechanic.
284	modern exploration cruiser	154000	50	650	950	650	6	55	10	1300	320	2,16,24	Constitution III emphasizes expedition capacity and survivability rather than maximum assault damage.
285	modern reconnaissance cruiser	141000	50	580	850	250	5	68	14	1220	290	2,16,24	Duderstadt uses a fast, shielded reconnaissance fit with less freight space than explorers.
286	modern fleet cruiser	150000	50	700	1000	450	6	52	9	1320	330	2,16,15	Excelsior II is a substantial modern upgrade; it does not inherit the six-million BM2 anomaly.
287	fleet assault cruiser	163000	75	900	850	300	6	58	10	1150	280	2,16,18	Gagarin emphasizes armor and sustained fleet attack, with shorter reach than survey peers.
288	reserved Gorn interceptor	16000	30	150	80	25	2	72	20	350	140	7,15,-	Reserved fast armored interceptor has reference stats but remains absent from normal markets and traffic.
289	heavy tactical capital	260000	75	1400	1800	450	7	60	8	1450	330	2,16,18	Inquiry is a modern frontline heavy ship; high protection and speed require a strategic gate.
290	early Intrepid patrol refit	29000	15	140	160	110	2	60	17	570	210	1,15,-	Early Earth Intrepid-pattern ship in civilian service; not a second Voyager-class explorer.
291	fast frontier freighter	79000	30	250	420	900	4	65	14	1080	290	1,25,-	Kaplan F17 trades some bulk capacity for unusual freighter speed and useful range.
292	Cardassian convoy transport	67000	30	480	280	1000	4	36	8	870	260	3,25,-	Armored transport supports convoys; a limited beam fit and low speed keep it below war cruisers.
293	Andorian battlecruiser	110000	50	650	650	280	5	62	11	950	240	2,15,23	Kumari is a combat ship with pursuit and direct-fire emphasis, not a civilian hauler.
294	deep-space survey cruiser	132000	50	420	820	650	5	58	12	1460	380	1,16,24	Luna prioritizes survey endurance, supplies and shielding over a heavy primary weapon.
295	tactical escort cruiser	90000	50	400	520	180	4	68	16	850	210	1,16,15	Norway gets an escort-screen fit; its precise screen mission is not treated as canonical proof.
296	Orion science vessel	77000	30	230	520	500	4	52	15	1120	320	11,24,25	Civilian science vessel offers scanning and recovery equipment with a defensive turret.
297	Penine patrol escort	29000	15	170	190	110	2	56	17	500	180	1,15,-	Affordable independent patrol craft favors protection over the Thawn's speed and stronger cannon.
298	modern utility cruiser	115000	50	500	750	600	5	54	12	1040	280	1,16,25	Reliant trades peak combat output for cargo, a tractor and balanced patrol performance.
299	capital explorer	235000	75	900	1600	1100	7	49	8	1590	400	2,16,24	Sagan serves as a modern expedition capital; supplies and reach justify the price without assault specialization.
300	sensor support cruiser	143000	50	480	950	720	6	48	10	1350	360	1,16,24	Sutherland follows the sensor-oriented Nebula lineage, with modern shields and expedition capacity.
301	Thawn frontier escort	44000	30	210	260	140	3	70	18	600	190	8,15,-	Fast independent escort pays for response speed and a pulse cannon, not copied cruiser stats.
302	Trieste reconnaissance cruiser	75000	30	280	420	300	4	63	15	1180	320	1,24,-	Independent reconnaissance specialist trades heavy weapons and cargo for travel and agility.
303	early warp patrol craft	9000	15	80	65	40	1	68	21	245	140	10,15,-	Small Earth-derived fast craft has a patrol fit and limited expedition capacity.
305	long-range frigate	39000	30	190	200	220	3	48	12	840	220	1,15,-	Miranda sits below Excelsior in price and protection, retaining a small endurance advantage.
306	local survey ship	28000	15	130	170	150	2	50	17	580	260	14,24,-	Nova specializes in regional survey work; advanced endurance belongs to Intrepid and Luna.
307	local defense escort	19000	15	140	170	40	2	62	19	360	150	8,15,-	Saber protects nearby systems; short range and tiny hold pay for strong light-ship defenses.
308	armed utility runabout	10500	15	75	95	90	1	52	20	240	150	10,15,-	Danube is a useful armed small craft, below capital yachts in protection and capacity.
309	armed civilian freighter	49000	30	240	260	620	3	56	13	750	230	1,15,25	Deforest combines trade and self-defense at a premium over slow dedicated haulers.
310	civilian generalist	47000	30	230	270	430	4	52	12	820	240	1,15,-	Aries is a middle-of-the-road civilian hull with usable cargo and no specialist peak.
311	civilian explorer	41000	15	160	240	380	3	50	14	1030	310	1,-,-	Mozart offers exploration reach before heavy protection; light armament keeps access civilian.
312	civilian reserve cruiser	36000	15	210	230	200	3	46	13	690	210	1,15,-	Retired Centaur provides basic patrol protection below active Imperial cruiser capability.
313	Imperial fleet cruiser	90000	50	500	500	300	5	52	10	1000	260	2,11,15	Ambassador in Imperial service starts heavily armed and better protected than the civilian conversion.
314	Cardassian patrol craft	8000	0	85	65	40	1	52	19	245	150	7,15,-	Hideki is an armed patrol and attack craft despite the inherited shuttle name; not a cargo specialist.
315	armed merchant cruiser	142000	50	650	900	1500	5	48	10	1050	300	12,16,25	Marauder is a well-protected armed trader; strong freight capability carries a real cost and trust gate.
316	cargo shuttle	3300	0	40	45	85	1	30	17	220	160	-,-,-	Ferengi starter maximizes cheap hold space and begins unarmed, with all three slots still usable.
317	Ferengi defense cruiser	84000	50	430	540	220	4	68	15	650	180	12,19,23	Vagabond protects trade routes through fast response and control equipment, sacrificing range and cargo.
318	bulk interstellar freighter	180000	50	600	900	3500	6	25	5	1120	350	1,25,-	Isaac is the best ordinary bulk hauler; slow travel and weak offensive fit preserve the escort need.
319	Delpin long-range cruiser	88000	50	370	600	230	4	60	13	1170	300	8,16,24	Long-range defensive cruiser extends beyond the smaller Delpin Warship's local combat role.
320	heavy cloaked warbird	225000	75	1250	1550	700	8	42	7	1420	350	3,17,22	D'deridex is a large deliberate warbird; protection, cloak and range outweigh speed and agility.
321	fast strike warbird	174000	75	700	1000	300	6	70	13	1240	290	3,17,22	Norexan uses the Valdore-style fast warbird role; less durable than D'deridex but much more agile.
322	JemHadar attack ship	18000	15	180	160	50	2	65	18	390	180	3,15,-	Compact armed Dominion attack ship remains the attainable Blender upgrade; larger strength is in the core.
323	Cardassian fleet cruiser	94000	50	750	550	500	5	46	10	1000	260	2,19,-	Galor is an armored line cruiser with practical cargo; slower than sleek assault peers.
324	Cardassian war cruiser	144000	50	1000	750	600	6	43	8	1120	300	2,19,12	Keldon upgrades Galor protection and war fit while giving up some speed and agility.
325	upgraded strike cruiser	94000	50	450	650	150	4	67	12	840	220	2,16,16	Upgraded Akira retains the approved higher swapped price and twin quantum launchers.
326	armored combat escort	62500	50	500	300	75	3	78	18	440	150	9,16,-	Defiant keeps the approved price and pulse/quantum combat identity; cloak is optional, not standard to every hull.
327	long-range explorer	96000	50	320	580	350	4	72	16	1330	360	1,15,24	Intrepid earns its place through speed and deep-space endurance, not top assault protection.
328	advanced tactical cruiser	165000	75	650	950	200	5	76	16	1120	280	2,16,18	Prometheus is a fast combat specialist; multivector separation is not implemented by this fit.
329	command battlecruiser	230000	75	1000	1500	650	7	54	8	1450	330	2,16,23	Sovereign command variant improves durability, cargo and endurance over the faster standard ship.
330	entry Bird of Prey	3000	0	40	30	40	1	40	20	200	100	7,-,-	B'rel is the stripped-down BM starter refit; its lack of a supplied cloak is a gameplay tier decision.
331	armed cargo conversion	76000	30	550	330	1050	4	35	7	910	270	6,19,25	BM K't'inga cargo conversion retains basic Klingon defense but is explicitly not the standard battlecruiser role.
332	Bird of Prey patrol ship	29000	30	180	200	160	3	57	17	590	190	6,19,22	K'Vort adds protection, cloak and reach above the user-approved second-rung Bird of Prey.
333	Klingon command battleship	310000	75	1750	1850	750	8	43	5	1530	320	2,19,22	Command Negh'Var gains endurance and command-grade defenses without assuming a Dominion victory timeline.
334	Klingon attack cruiser	146000	50	850	700	300	6	58	11	1130	270	6,19,22	Vor'cha balances assault armor with pursuit and cloak; inferior freight to armed haulers.
335	budget civilian explorer	19000	15	100	150	160	2	46	16	680	240	14,-,-	Akuzi is a cheap explorer with weak defenses and light armament, below modern survey hulls.
336	civilian patrol conversion	60000	30	350	380	400	4	51	12	880	260	1,15,-	New Orleans conversion trades the former military role for practical independent trade and escort work.
338	quantum-drive cruiser	135000	50	650	650	500	6	50	11	1320	600	3,19,22	Tarellian cruiser trades peak combat output for extended reserve and cloak; literal fuel-free travel remains future work.
340	Constitution service tug	33000	15	260	160	650	4	30	7	640	200	14,25,-	Retired cruiser tug is tough and roomy but slow, with only light self-defense and a working tractor.
341	Constellation cargo tug	49000	30	340	220	1150	4	28	6	840	280	14,25,-	Larger cargo tug buys capacity and range at the cost of handling, shielding and weapons.
342	medical support transport	80000	30	280	600	1000	5	38	10	1110	320	25,24,-	Olympic supports evacuation and recovery with a utility-only fit; no automatic medical healing mechanic is claimed.
343	Vulcan defense cruiser	112000	50	450	950	350	5	52	12	1060	290	4,16,24	C'Thia holds territory with shielding and detection; less expedition cargo and reach than larger Vulcan explorers.
344	military strike frigate	65000	50	320	400	120	4	70	16	700	190	9,16,15	Steamrunner strike variant retains its approved aggressive fit and outperforms the reserve hull in combat.
345	Bajoran sail transport	2000	0	40	20	80	1	24	16	245	220	-,-,-	Fragile peaceful transport has cheap capacity and a generous reserve; sail refueling is not implemented here.
346	Borg assimilation cube	900000	100	6000	6500	6000	10	25	3	1600	400	5,13,25	Core Borg assault and assimilation platform; remains unavailable as ordinary civilian stock.
347	Project X supercapital	1500000	100	9000	12000	5000	10	50	7	1780	420	2,16,18	Excalibur retains the approved durability, price and 100 Terran gate; a game-specific Project X design.
348	Andorian cargo shuttle	3200	0	55	45	70	1	38	20	225	140	-,-,-	Cargo shuttle keeps its approved modest price and empty armable fit; less capacity than Ferengi, better mobility.
349	independent utility shuttle	2200	0	45	35	55	1	42	22	215	120	-,-,-	Unidentified utility design stays independent and affordable; no unsupported Andorian identity is invented.
350	basic civilian shuttle	900	0	35	20	30	1	36	20	190	100	-,-,-	Cheap entry transport remains empty but armable, with clear upgrades in cargo, protection and range.
351	light Bird of Prey	9000	15	75	60	35	2	60	19	340	150	7,15,-	The user's second Klingon warship tier remains above B'rel and below K'Vort, larger than a shuttle.
