station_id,system_index,name,type_id,type_name,proposed_role,authored_ship_ids,authored_weapon_ids,review_note
8-50,8,HS-39,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
8-49,8,PS-885,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
8-51,8,The Rock,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
8-47,8,TS-293,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,343,,Authored hull offer needs explicit licensed depot exception or relocation
10-54,10,Ga'Ick,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",314;15,,Inherit proposed type role; retain existing ownership and catalog gates
10-53,10,Gi'k-91,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
11-59,11,J'lin Center,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",,,Inherit proposed type role; retain existing ownership and catalog gates
11-55,11,U of Vulcan,72,Vulcan University,"Officer/scientist education, training, analysis and mediation",,35;40;41,Inherit proposed type role; retain existing ownership and catalog gates
11-56,11,V'Pek Tar,74,Human Shipyard,Small/medium hull construction and refits,25;211;47;237,,Inherit proposed type role; retain existing ownership and catalog gates
11-58,11,VSU Dorms,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,University-linked accommodation; avoid duplicate workforce benefit
11-57,11,Vulcan South U,72,Vulcan University,"Officer/scientist education, training, analysis and mediation",47;237,43;50,Authored hull offer needs explicit licensed depot exception or relocation
12-60,12,Paxis Route,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,,Inherit proposed type role; retain existing ownership and catalog gates
12-63,12,Rainbow's End,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
12-61,12,The Fuzzy Bunny,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,,Inherit proposed type role; retain existing ownership and catalog gates
12-62,12,The Happy House,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
13-66,13,Contracts End,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,52,Inherit proposed type role; retain existing ownership and catalog gates
13-67,13,Greed Central,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,,Inherit proposed type role; retain existing ownership and catalog gates
13-64,13,Sharp Tooth,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
13-68,13,Snuff This,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,32,Inherit proposed type role; retain existing ownership and catalog gates
13-65,13,The Big Ear,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,33,Inherit proposed type role; retain existing ownership and catalog gates
13-69,13,Zek's Used Ships,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",310;316;317;331;311;47;315,,Inherit proposed type role; retain existing ownership and catalog gates
14-70,14,SB-203 (abandoned),70,Human Starbase,"Fleet headquarters, full repairs, licensed reserve sales and stores",,,Exploration/restoration; no staffed services until restored
15-72,15,D-37,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
15-74,15,D-48,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
15-77,15,D-56,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
15-75,15,D-65,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
15-76,15,D-82,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
15-73,15,D-87,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
15-71,15,Nausica Orbital,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",11,36,Inherit proposed type role; retain existing ownership and catalog gates
17-209,17,First Web Citadel,106,Tholian Starbase,Web-defense citadel and protected trade anchorage,222;318;223;232,16;4,Authored hull offer needs explicit licensed depot exception or relocation
17-80,17,Tholian Cargo Yard,107,Tholian Light Shipyard,Small lattice hulls and commercial transport construction,222;318;223,5,Inherit proposed type role; retain existing ownership and catalog gates
17-79,17,Tholian Heavy Yard,108,Tholian Heavy Shipyard,Heavy cargo and combat lattice frames,232;223;318,5;16,Authored hull offer needs explicit licensed depot exception or relocation
17-78,17,Tholian Light Yard,107,Tholian Light Shipyard,Small lattice hulls and commercial transport construction,222;318;223,5,Inherit proposed type role; retain existing ownership and catalog gates
18-81,18,Newgrounds Pub,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
19-202,19,Oce nu Drinking Establishment,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
20-203,20,Koann Klub,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
22-84,22,Bio-Lab (abandoned),71,Human Research Lab,"Weapon development, analysis and prototype trials; no general hull sales",,,Exploration/restoration; no staffed services until restored
22-85,22,Delpi State U,72,Vulcan University,"Officer/scientist education, training, analysis and mediation",,40;41;42;43,Inherit proposed type role; retain existing ownership and catalog gates
22-82,22,Splash-Planet,77,Delpin Waterpark,"Tourism, recreation, refugee respite and civilian passenger contracts",,,Inherit proposed type role; retain existing ownership and catalog gates
22-83,22,Xiang Center,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",319;345,1,Inherit proposed type role; retain existing ownership and catalog gates
24-86,24,Antenna Yard,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",15;10;9;338;240;348,,Inherit proposed type role; retain existing ownership and catalog gates
24-89,24,Blues Waterpark,77,Delpin Waterpark,"Tourism, recreation, refugee respite and civilian passenger contracts",,,Inherit proposed type role; retain existing ownership and catalog gates
24-87,24,GHD-DS,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
24-88,24,U of Andoria,72,Vulcan University,"Officer/scientist education, training, analysis and mediation",,42,Inherit proposed type role; retain existing ownership and catalog gates
26-90,26,The Spot,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",1;9;10;47;335,,Inherit proposed type role; retain existing ownership and catalog gates
27-94,27,Crusher,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
27-92,27,Die,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
27-95,27,Protector 1,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
27-96,27,Protector 2,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
27-98,27,Protector 3,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
27-93,27,Scum,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
27-91,27,The Blacksmith,71,Human Research Lab,"Weapon development, analysis and prototype trials; no general hull sales",,7;23;24;26;6;11,Inherit proposed type role; retain existing ownership and catalog gates
27-97,27,The Depot,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,13;18;37,Inherit proposed type role; retain existing ownership and catalog gates
29-164,29,Reman Starbase,90,Romulan Starbase,"Concealed fleet support, intelligence, repairs and authorized reserves",53,,Inherit proposed type role; retain existing ownership and catalog gates
30-100,30,G1,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
30-105,30,G32,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
30-102,30,GX1 (abandoned),78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Exploration/restoration; no staffed services until restored
30-106,30,Kpec Prison,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Detention/prisoner exchange overrides generic habitat role
30-99,30,Praetor Center,90,Romulan Starbase,"Concealed fleet support, intelligence, repairs and authorized reserves",,51,Inherit proposed type role; retain existing ownership and catalog gates
30-103,30,Rinsu,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,,Inherit proposed type role; retain existing ownership and catalog gates
30-104,30,Tuansu,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
30-101,30,Waryard,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",320;321,4;6;7;22,Inherit proposed type role; retain existing ownership and catalog gates
32-165,32,X-8,85,Wormhole Generator,"Regulated transit, navigation research and gate maintenance",,,Inherit proposed type role; retain existing ownership and catalog gates
34-107,34,Gato Station,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",1;4,1;14,Inherit proposed type role; retain existing ownership and catalog gates
34-110,34,P012,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
34-108,34,Picards Place,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
34-109,34,Star Park,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
35-111,35,K'Klep,80,Klingon Shipyard,Birds-of-Prey and other small/medium warship work,331;332;310;239,,Authored hull offer needs explicit licensed depot exception or relocation
35-116,35,K24,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
35-112,35,K39,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
35-114,35,K48,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
35-115,35,K74,87,Advanced Defense Platform,Heavy torpedoes and layered defense; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
35-113,35,K84,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
36-119,36,B'lech,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",331;239,,Inherit proposed type role; retain existing ownership and catalog gates
36-121,36,Juhad,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
36-118,36,K178,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
36-117,36,K94,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
36-120,36,Tupok,80,Klingon Shipyard,Birds-of-Prey and other small/medium warship work,351;330;332;239,,Authored hull offer needs explicit licensed depot exception or relocation
36-201,36,Worf's Bar,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
37-127,37,Flek,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",,,Inherit proposed type role; retain existing ownership and catalog gates
37-131,37,Hu'kel,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",,,Inherit proposed type role; retain existing ownership and catalog gates
37-129,37,K'Jak,81,Klingon Heavy Shipyard,"Heavy warships, major repairs and House reserve commissions",42;334;331;239,19;12;25,Inherit proposed type role; retain existing ownership and catalog gates
37-123,37,K38,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
37-126,37,Kempek,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",239,47,Inherit proposed type role; retain existing ownership and catalog gates
37-125,37,KTanga,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",,,Inherit proposed type role; retain existing ownership and catalog gates
37-133,37,Plax,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
37-122,37,Plek,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",,6,Inherit proposed type role; retain existing ownership and catalog gates
37-134,37,Plex,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
37-130,37,Praxis,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",,,Inherit proposed type role; retain existing ownership and catalog gates
37-124,37,Qonos Array,89,Subspace Comm,"Sector fleet command relay; orders, distress and intelligence subscriptions only",,,Relay services only; relocate any authored stock before removing market
37-132,37,Tar'jel,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
37-128,37,Targ,80,Klingon Shipyard,Birds-of-Prey and other small/medium warship work,351;330;331;332;239,6;12;7,Authored hull offer needs explicit licensed depot exception or relocation
38-204,38,Xonok Pub,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
39-205,39,Kises Bar,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
40-135,40,Empok Nor,88,Cardassian Starbase,"Sector administration, defense and the catalog's established Galor/Keldon construction",,,Inherit proposed type role; retain existing ownership and catalog gates
41-142,41,K21,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
41-136,41,K28,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
41-139,41,K283,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
41-141,41,K298,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
41-137,41,K384,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
41-138,41,K93,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
41-140,41,The Sludge,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,34;22;16;26;24;18,Inherit proposed type role; retain existing ownership and catalog gates
42-146,42,Fuki,80,Klingon Shipyard,Birds-of-Prey and other small/medium warship work,351;330;331;239,,Authored hull offer needs explicit licensed depot exception or relocation
42-148,42,K'fort,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",,,Inherit proposed type role; retain existing ownership and catalog gates
42-144,42,Kempek,80,Klingon Shipyard,Birds-of-Prey and other small/medium warship work,351;330;331;239,,Authored hull offer needs explicit licensed depot exception or relocation
42-143,42,KPlex,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",,,Inherit proposed type role; retain existing ownership and catalog gates
42-147,42,Krap,81,Klingon Heavy Shipyard,"Heavy warships, major repairs and House reserve commissions",,1;4;6;12,Inherit proposed type role; retain existing ownership and catalog gates
42-149,42,L'fort,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",,,Inherit proposed type role; retain existing ownership and catalog gates
42-151,42,L'fort,79,Klingon Starbase,"House fleet seat, warship support and licensed reserve sales",,,Inherit proposed type role; retain existing ownership and catalog gates
42-145,42,Prax,81,Klingon Heavy Shipyard,"Heavy warships, major repairs and House reserve commissions",334;42;239,,Inherit proposed type role; retain existing ownership and catalog gates
43-207,43,Nayobek orbital Bar,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
44-150,44,K38,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
45-206,45,Kahless Club,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
46-152,46,Borj,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
46-153,46,Tempe,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,,Inherit proposed type role; retain existing ownership and catalog gates
46-154,46,Terok Nor,88,Cardassian Starbase,"Sector administration, defense and the catalog's established Galor/Keldon construction",345,20;37,Inherit proposed type role; retain existing ownership and catalog gates
48-155,48,Iceland,84,Habitat Station,"Housing, workforce, refugees and passenger logistics; no hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
49-161,49,C329,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
49-162,49,C382,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
49-156,49,Clak Nor,88,Cardassian Starbase,"Sector administration, defense and the catalog's established Galor/Keldon construction",,48,Inherit proposed type role; retain existing ownership and catalog gates
49-157,49,Duek Nor,88,Cardassian Starbase,"Sector administration, defense and the catalog's established Galor/Keldon construction",,,Inherit proposed type role; retain existing ownership and catalog gates
49-159,49,Dukat Pub,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
49-158,49,Pex Outpost,75,Trade Station,"Freight brokerage, commodities, warehousing and authorized civilian lots",,3;19;20,Inherit proposed type role; retain existing ownership and catalog gates
49-160,49,Turok Nor,88,Cardassian Starbase,"Sector administration, defense and the catalog's established Galor/Keldon construction",323;324,,Inherit proposed type role; retain existing ownership and catalog gates
50-0,50,Dyson Base,82,Dyson Sphere,"Exceptional habitat, energy/industry and an authored megaproject",,5,Inherit proposed type role; retain existing ownership and catalog gates
50-1,50,FHG-293-A,85,Wormhole Generator,"Regulated transit, navigation research and gate maintenance",,,Inherit proposed type role; retain existing ownership and catalog gates
51-166,51,The Slip,85,Wormhole Generator,"Regulated transit, navigation research and gate maintenance",,,Inherit proposed type role; retain existing ownership and catalog gates
52-176,52,Sona Defence 1,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
52-186,52,Sonata Bar,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
52-177,52,Sonata Orbital Defence,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
53-188,53,Iritum Workers Bar,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",,,Inherit proposed type role; retain existing ownership and catalog gates
53-187,53,Mining Platform A,78,Ore Station,Extract/refine minerals when local deposits exist; sell feedstock,,,Inherit proposed type role; retain existing ownership and catalog gates
54-198,54,Josh's Maitenance,83,Maintenance Station,"Discount repairs, salvage refits, towing and explicitly licensed used small hulls",342;346,,Inherit proposed type role; retain existing ownership and catalog gates
54-180,54,Nova Bar,76,Bar,"Crew leave, recruitment, paid rumors and underworld contacts; no normal hull shop",33;326;327;328;64;228,,Inherit proposed type role; retain existing ownership and catalog gates
54-167,54,Nova Base,70,Human Starbase,"Fleet headquarters, full repairs, licensed reserve sales and stores",38,46,Inherit proposed type role; retain existing ownership and catalog gates
54-175,54,Nova Defence Alpha,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
54-172,54,Nova Defence Beta,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
54-174,54,Nova Defence Delta,86,Defense Platform,Local beam defense and checkpoint fire support; no commerce,,,Inherit proposed type role; retain existing ownership and catalog gates
